Date,Open,High,Low,Close,Adj Close,Volume
2023-11-24,14238.040039,14270.280273,14214.129883,14250.849609,14250.849609,2541840000
2023-11-27,14239.309570,14305.709961,14205.240234,14241.019531,14241.019531,4205880000
2023-11-28,14224.629883,14303.660156,14195.719727,14281.759766,14281.759766,4474400000
2023-11-29,14367.110352,14423.219727,14247.889648,14258.490234,14258.490234,4890220000
2023-11-30,14265.049805,14289.200195,14127.049805,14226.219727,14226.219727,5678070000
2023-12-01,14181.349609,14311.950195,14135.000000,14305.030273,14305.030273,5607000000
2023-12-04,14168.660156,14197.519531,14058.519531,14185.490234,14185.490234,6270020000
2023-12-05,14126.400391,14285.660156,14121.759766,14229.910156,14229.910156,6179120000
2023-12-06,14325.620117,14327.629883,14138.509766,14146.709961,14146.709961,5167030000
2023-12-07,14230.429688,14353.110352,14220.870117,14339.990234,14339.990234,5694310000
2023-12-08,14279.459961,14416.919922,14264.959961,14403.969727,14403.969727,5430840000
2023-12-11,14340.129883,14436.080078,14324.570313,14432.490234,14432.490234,5607820000
2023-12-12,14423.009766,14533.400391,14385.389648,14533.400391,14533.400391,4950100000
2023-12-13,14555.679688,14743.549805,14517.519531,14733.959961,14733.959961,6732040000
2023-12-14,14798.719727,14855.620117,14642.230469,14761.559570,14761.559570,8033170000
2023-12-15,14797.459961,14848.400391,14753.160156,14813.919922,14813.919922,8377630000
2023-12-18,14814.019531,14938.040039,14811.820313,14904.809570,14904.809570,5866080000
2023-12-19,14923.019531,15003.799805,14921.599609,15003.219727,15003.219727,5757180000
2023-12-20,14973.360352,15069.290039,14776.290039,14777.940430,14777.940430,6294700000
2023-12-21,14923.139648,14970.809570,14837.469727,14963.870117,14963.870117,5465640000
2023-12-22,15006.179688,15047.190430,14927.120117,14992.969727,14992.969727,4796600000
2023-12-26,15028.690430,15101.179688,15024.059570,15074.570313,15074.570313,6120600000
2023-12-27,15089.660156,15114.080078,15051.669922,15099.179688,15099.179688,7480170000
2023-12-28,15142.089844,15150.070313,15087.219727,15095.139648,15095.139648,5090570000
2023-12-29,15099.200195,15111.410156,14955.370117,15011.349609,15011.349609,5441060000
2024-01-02,14873.700195,14887.799805,14682.379883,14765.940430,14765.940430,5791170000
2024-01-03,14641.469727,14694.580078,14577.440430,14592.209961,14592.209961,5449950000
2024-01-04,14532.230469,14632.769531,14504.780273,14510.299805,14510.299805,5289220000
2024-01-05,14500.110352,14625.190430,14477.570313,14524.070313,14524.070313,5232820000
2024-01-08,14564.469727,14846.900391,14560.200195,14843.769531,14843.769531,6337770000
2024-01-09,14744.129883,14894.320313,14716.709961,14857.709961,14857.709961,5068410000
2024-01-10,14877.700195,14998.200195,14842.700195,14969.650391,14969.650391,4404590000
2024-01-11,15020.950195,15063.610352,14800.379883,14970.190430,14970.190430,5044690000
2024-01-12,15001.009766,15047.250000,14931.879883,14972.759766,14972.759766,4958940000
2024-01-16,14908.259766,15004.349609,14863.809570,14944.349609,14944.349609,6386180000
2024-01-17,14814.769531,14865.759766,14706.230469,14855.620117,14855.620117,5181740000
2024-01-18,14994.519531,15066.809570,14911.110352,15055.650391,15055.650391,5587440000
2024-01-19,15122.379883,15310.969727,15087.200195,15310.969727,15310.969727,5604950000
2024-01-22,15393.049805,15438.849609,15333.629883,15360.290039,15360.290039,5456240000
2024-01-23,15391.410156,15432.349609,15337.230469,15425.940430,15425.940430,5207680000
2024-01-24,15560.610352,15629.070313,15468.910156,15481.919922,15481.919922,4983210000
2024-01-25,15555.620117,15597.250000,15430.679688,15510.500000,15510.500000,5281570000
2024-01-26,15474.849609,15538.839844,15433.040039,15455.360352,15455.360352,4510530000
2024-01-29,15470.660156,15630.580078,15449.870117,15628.040039,15628.040039,4979310000
2024-01-30,15604.080078,15619.230469,15484.669922,15509.900391,15509.900391,4719240000
2024-01-31,15324.190430,15405.559570,15158.490234,15164.009766,15164.009766,5875610000
2024-02-01,15254.019531,15372.129883,15208.879883,15361.639648,15361.639648,5046920000
2024-02-02,15403.160156,15664.209961,15366.780273,15628.950195,15628.950195,4800690000
2024-02-05,15613.990234,15637.879883,15471.679688,15597.679688,15597.679688,4831020000
2024-02-06,15638.190430,15652.750000,15515.250000,15609.000000,15609.000000,4759640000
2024-02-07,15690.349609,15770.679688,15645.809570,15756.639648,15756.639648,4567580000
2024-02-08,15762.230469,15813.269531,15739.179688,15793.709961,15793.709961,5675850000
2024-02-09,15842.379883,16007.290039,15831.759766,15990.660156,15990.660156,5797260000
2024-02-12,15980.620117,16080.070313,15917.870117,15942.549805,15942.549805,5458490000
2024-02-13,15598.879883,15770.419922,15551.440430,15655.599609,15655.599609,5599860000
2024-02-14,15781.709961,15865.509766,15683.940430,15859.150391,15859.150391,5092660000
2024-02-15,15865.299805,15911.219727,15779.719727,15906.169922,15906.169922,6049100000
2024-02-16,15910.429688,15917.410156,15752.019531,15775.650391,15775.650391,5223800000
2024-02-20,15679.839844,15730.469727,15508.500000,15630.780273,15630.780273,5595700000
2024-02-21,15532.120117,15583.679688,15451.650391,15580.870117,15580.870117,4845740000
2024-02-22,15904.480469,16061.820313,15869.240234,16041.620117,16041.620117,5653930000
2024-02-23,16094.799805,16134.219727,15954.500000,15996.820313,15996.820313,5077910000
2024-02-26,16014.450195,16054.900391,15973.900391,15976.250000,15976.250000,5417630000
2024-02-27,16013.980469,16046.099609,15940.509766,16035.299805,16035.299805,5423020000
2024-02-28,15969.139648,16003.559570,15924.719727,15947.740234,15947.740234,5581690000
2024-02-29,16059.339844,16115.959961,15931.700195,16091.919922,16091.919922,6265340000
2024-03-01,16109.830078,16302.240234,16096.599609,16274.940430,16274.940430,5457910000
2024-03-04,16264.209961,16289.059570,16199.059570,16207.509766,16207.509766,5725470000
2024-03-05,16077.740234,16087.570313,15862.629883,15939.589844,15939.589844,6356800000
2024-03-06,16092.000000,16128.559570,15956.660156,16031.540039,16031.540039,5511370000
2024-03-07,16147.320313,16309.019531,16096.009766,16273.379883,16273.379883,5072790000
2024-03-08,16322.099609,16449.699219,16059.500000,16085.110352,16085.110352,5411790000
2024-03-11,16052.629883,16085.950195,15978.040039,16019.269531,16019.269531,4917620000
2024-03-12,16116.980469,16275.450195,15992.980469,16265.639648,16265.639648,5100330000
